Lead ID,Lead Source,Lead Status,Date of Lead Generation,Date of Last Contact,Sales Amount,Region,Salesperson,Conversion Date,Lead Qualification,Course Type,Follow-up Status,Marketing Campaign,Lead Score,Student Type,
d57ca4ab-bef9-4e4c-8c94-3419a43fd6c7,Organic,Converted,05-05-2025,13-06-2025,4914,West,Priya,11-09-2025,Unqualified,Salesforce,No Follow-up,Google Ads Campaign,87,Student,
79f47ede-0eac-44d3-a839-db1460f381d4,Referral,Contacted,28-03-2025,07-02-2025,0,North,Mary,,Qualified,Data Analytics,No Follow-up,Organic Search,48,Student,
80194ef6-0215-4b39-b7f6-cae9e2f15e62,Organic,Converted,13-02-2025,24-09-2025,4571,East,John,04-04-2025,Unqualified,Salesforce,No Follow-up,Referral Program,61,Student,
a69e0f1f-e947-4785-9019-21417898987e,Social Media,Lost,05-09-2025,05-09-2025,0,East,Mary,,Qualified,Java Full Stack,Follow-up Scheduled,Organic Search,47,Student,
cab9ce19-a08c-4892-8555-a5416ad2f566,Social Media,Converted,29-05-2025,08-09-2025,2213,North,Mary,26-02-2025,Qualified,Power BI,Pending Follow-up,Facebook Ads,67,Working Professional,
17223d9b-1508-4acd-ad38-dbb87c54b6bd,Organic,Converted,01-09-2025,08-08-2025,3988,South,Raj,,Qualified,Power BI,No Follow-up,Organic Search,34,Student,
d1d9fa66-4f94-49ae-8dfe-818dbfbf0830,Google Ads,Converted,08-05-2025,26-06-2025,4796,East,Priya,16-10-2025,Unqualified,Java Full Stack,Pending Follow-up,Referral Program,94,Fresher,
a35ff586-68bf-4b9c-bb05-ffb956f2b431,Google Ads,Converted,12-07-2025,27-08-2025,4181,East,Raj,06-07-2025,Qualified,Power BI,No Follow-up,Google Ads Campaign,91,Fresher,
27903ba1-5fa8-4c4a-bba6-c8eccbfcd434,Organic,Contacted,20-09-2025,01-04-2025,0,North,John,,Unqualified,Java Full Stack,Pending Follow-up,Referral Program,64,Working Professional,
4a02e573-ba1e-488a-a98b-6e4bb96f9a2e,Google Ads,Converted,07-05-2025,15-02-2025,4750,North,Mary,11-03-2025,Qualified,Salesforce,No Follow-up,Organic Search,68,Fresher,
8a95c023-79ed-4047-871e-32a7f72ddbb6,Google Ads,Lost,05-01-2025,05-01-2025,0,West,Mary,,Unqualified,Java Full Stack,Contacted,Organic Search,61,Working Professional,
637b6ccc-1899-4137-923f-4dae20dc8271,Google Ads,Converted,10-02-2025,29-09-2025,4541,West,Priya,19-03-2025,Qualified,Power BI,No Follow-up,Facebook Ads,92,Student,
45ea686a-55ab-4099-a480-d0c6286c840c,Referral,Contacted,12-05-2025,27-05-2025,0,West,Raj,,Qualified,Java Full Stack,Pending Follow-up,Facebook Ads,39,Working Professional,
925c2a72-d106-4514-855f-c297e37c4618,Google Ads,Converted,12-03-2025,26-02-2025,2848,West,John,02-10-2025,Qualified,Data Analytics,Follow-up Scheduled,Referral Program,32,Student,
ab43ea01-a76b-4f64-9386-401ebc9be09c,Referral,Lost,11-07-2025,11-07-2025,0,South,Mary,,Qualified,Salesforce,Contacted,Organic Search,74,Student,
5c1b41dc-938e-48c5-9af9-9b2cfc8f5bd8,Google Ads,Converted,21-06-2025,12-09-2025,2902,South,Raj,24-05-2025,Qualified,Java Full Stack,Follow-up Scheduled,Facebook Ads,57,Student,
2fcd2ca3-22a1-452b-8dea-e27db50cbe8d,Organic,Converted,04-10-2025,31-01-2025,3558,East,Mary,27-06-2025,Qualified,Data Analytics,Pending Follow-up,Google Ads Campaign,89,Working Professional,
16717535-223d-45d6-9dc3-a6c7159ddc52,Referral,Contacted,08-03-2025,27-05-2025,0,West,John,,Qualified,Power BI,No Follow-up,Organic Search,74,Working Professional,
07deb324-275c-4cea-9e54-28d8c965b7b4,Referral,Lost,21-01-2025,21-01-2025,0,South,Raj,,Unqualified,Power BI,Contacted,Google Ads Campaign,94,Student,
ba306618-0d96-4070-b3be-9aa0d34034bb,Organic,Contacted,06-04-2025,06-07-2025,0,South,John,,Qualified,Salesforce,Pending Follow-up,Referral Program,32,Fresher,
4e8de92a-5f74-4e06-9852-5ef25d10f823,Google Ads,Lost,16-06-2025,16-06-2025,0,East,Raj,,Unqualified,Power BI,Follow-up Scheduled,Google Ads Campaign,59,Student,
870eb38e-4632-4b34-baf7-f1dba0f5ba40,Google Ads,Lost,15-08-2025,15-08-2025,0,West,John,,Qualified,Data Analytics,Contacted,Organic Search,60,Working Professional,
0d067572-b58c-404f-87c4-f4ee3d79d912,Organic,Lost,10-03-2025,10-03-2025,0,South,John,,Unqualified,Data Analytics,Follow-up Scheduled,Referral Program,49,Working Professional,
dfcf1a4a-a238-499e-b218-85ef582975c8,Referral,Lost,06-08-2025,06-08-2025,0,West,John,,Qualified,Salesforce,No Follow-up,Facebook Ads,32,Fresher,
68bcad20-a634-45b6-8836-da35c714d8c5,Social Media,Lost,16-06-2025,16-06-2025,0,West,Priya,,Qualified,Data Analytics,Contacted,Organic Search,48,Working Professional,
85ee12bb-f69b-4d5e-9fcf-3db043f0e5f8,Referral,Lost,19-04-2025,19-04-2025,0,North,John,,Unqualified,Power BI,Pending Follow-up,Referral Program,40,Working Professional,
